outlier_mode,scaler,nCluster,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
cluster,QuantileTransformer,1,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.340183973312378,0.3223564624786377
cluster,QuantileTransformer,6,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.2011117935180664,0.2537398338317871
cluster,QuantileTransformer,11,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.239081621170044,0.28914833068847656
cluster,QuantileTransformer,16,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.8567209243774414,0.3403947353363037
cluster,QuantileTransformer,21,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.4326231479644775,0.34081459045410156
cluster,QuantileTransformer,26,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,0.9719488620758057,0.21538639068603516
cluster,QuantileTransformer,31,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.0019590854644775,0.20505619049072266
cluster,QuantileTransformer,36,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.3460688591003418,0.132965087890625
cluster,QuantileTransformer,41,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.5519165992736816,0.14705729484558105
cluster,QuantileTransformer,46,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.7960669994354248,0.33157896995544434
cluster,QuantileTransformer,51,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,2.085301399230957,0.3549082279205322
cluster,QuantileTransformer,56,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.4002659320831299,0.3132762908935547
cluster,QuantileTransformer,61,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.2171366214752197,0.18514704704284668
cluster,QuantileTransformer,66,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,2.279789686203003,0.2785224914550781
cluster,QuantileTransformer,71,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,2.0998024940490723,0.24275827407836914
cluster,QuantileTransformer,76,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.8328633308410645,0.19399785995483398
cluster,QuantileTransformer,81,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.5349459648132324,0.2903885841369629
cluster,QuantileTransformer,86,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.915330171585083,0.3068869113922119
cluster,QuantileTransformer,91,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.4710133075714111,0.22417521476745605
cluster,QuantileTransformer,96,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.7047357559204102,0.3067138195037842
cluster,QuantileTransformer,101,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.743018627166748,0.20599937438964844
cluster,QuantileTransformer,106,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.8779716491699219,0.4665489196777344
cluster,QuantileTransformer,111,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.994884729385376,0.17528080940246582
cluster,QuantileTransformer,116,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,2.2984936237335205,0.36831068992614746
cluster,QuantileTransformer,121,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,2.6401398181915283,0.13111281394958496
cluster,QuantileTransformer,126,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.5646812915802002,0.20480895042419434
cluster,QuantileTransformer,131,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,2.0140669345855713,0.27210497856140137
cluster,QuantileTransformer,136,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.8039648532867432,0.18372845649719238
cluster,QuantileTransformer,141,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.2962028980255127,0.12681365013122559
cluster,QuantileTransformer,146,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,2.289931535720825,0.25310206413269043
cluster,QuantileTransformer,151,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.5603179931640625,0.2697103023529053
cluster,QuantileTransformer,156,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.800119161605835,0.20833349227905273
cluster,QuantileTransformer,161,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,2.2905080318450928,0.2760195732116699
cluster,QuantileTransformer,166,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,2.314396381378174,0.2917745113372803
cluster,QuantileTransformer,171,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,2.0620806217193604,0.18291521072387695
cluster,QuantileTransformer,176,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.7421133518218994,0.30100131034851074
cluster,QuantileTransformer,181,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,2.3280913829803467,0.1727302074432373
cluster,QuantileTransformer,186,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,2.0306999683380127,0.12975811958312988
cluster,QuantileTransformer,191,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,2.205808639526367,0.2222578525543213
cluster,QuantileTransformer,196,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,2.110024929046631,0.28974223136901855
cluster,QuantileTransformer,201,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.749237298965454,0.17234373092651367
cluster,QuantileTransformer,206,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.4526493549346924,0.3037142753601074
cluster,QuantileTransformer,211,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.8023488521575928,0.15788912773132324
cluster,QuantileTransformer,216,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,2.2102298736572266,0.3022317886352539
cluster,QuantileTransformer,221,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,2.157644510269165,0.125929594039917
cluster,QuantileTransformer,226,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,2.0337653160095215,0.2230684757232666
cluster,QuantileTransformer,231,50.0,88.9,88.9,0.0,0.9412387506617258,0.889,1.0,1.9198403358459473,0.13904261589050293
