dataset,method,clients,alpha,round,total_rounds,round_train_loss,gcr_pre,mean_cosine_pre,min_cosine_pre,conflicting_pairs,total_pairs,aligned_norm,cmnp_rejection_rate,round_time_sec,final_auc_roc,final_f1_optimal,final_f1_calibrated,final_far,latency_ms_per_sample,peak_memory_mb
EdgeIIoTset,Naive_FedLUNAR,3,0.5,1,10,0.7296,0.0,1.0,1.0,0,0,0.0,0.0,0.746,100.0,99.8,67.66,5.01,0.0012,61.76
EdgeIIoTset,Naive_FedLUNAR,3,0.5,2,10,0.19112,0.0,1.0,1.0,0,0,0.0,0.0,0.746,100.0,99.8,67.66,5.01,0.0012,61.76
EdgeIIoTset,Naive_FedLUNAR,3,0.5,3,10,0.13757,0.0,1.0,1.0,0,0,0.0,0.0,0.746,100.0,99.8,67.66,5.01,0.0012,61.76
EdgeIIoTset,Naive_FedLUNAR,3,0.5,4,10,0.1269,0.0,1.0,1.0,0,0,0.0,0.0,0.746,100.0,99.8,67.66,5.01,0.0012,61.76
EdgeIIoTset,Naive_FedLUNAR,3,0.5,5,10,0.07346,0.0,1.0,1.0,0,0,0.0,0.0,0.746,100.0,99.8,67.66,5.01,0.0012,61.76
EdgeIIoTset,Naive_FedLUNAR,3,0.5,6,10,0.13696,0.0,1.0,1.0,0,0,0.0,0.0,0.746,100.0,99.8,67.66,5.01,0.0012,61.76
EdgeIIoTset,Naive_FedLUNAR,3,0.5,7,10,0.06837,0.0,1.0,1.0,0,0,0.0,0.0,0.746,100.0,99.8,67.66,5.01,0.0012,61.76
EdgeIIoTset,Naive_FedLUNAR,3,0.5,8,10,0.08885,0.0,1.0,1.0,0,0,0.0,0.0,0.746,100.0,99.8,67.66,5.01,0.0012,61.76
EdgeIIoTset,Naive_FedLUNAR,3,0.5,9,10,0.06131,0.0,1.0,1.0,0,0,0.0,0.0,0.746,100.0,99.8,67.66,5.01,0.0012,61.76
EdgeIIoTset,Naive_FedLUNAR,3,0.5,10,10,0.07759,0.0,1.0,1.0,0,0,0.0,0.0,0.746,100.0,99.8,67.66,5.01,0.0012,61.76
